Date,BAJFINANCE.NS_QTY,BAJFINANCE.NS_Rate,BAJFINANCE.NS_Value,DMART.NS_QTY,DMART.NS_Rate,DMART.NS_Value,MARUTI.NS_QTY,MARUTI.NS_Rate,MARUTI.NS_Value,RELIANCE.NS_QTY,RELIANCE.NS_Rate,RELIANCE.NS_Value,TECHM.NS_QTY,TECHM.NS_Rate,TECHM.NS_Value
2023-11-01,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-02,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-03,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-06,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-07,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-08,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-09,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-10,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-13,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-15,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-16,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-17,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-20,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-21,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-22,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-23,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-24,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-28,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-29,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-11-30,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-01,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-04,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-05,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-06,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-07,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-08,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-11,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-12,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-13,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-14,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-15,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-18,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-19,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-21,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-22,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-12-26,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
